,地址,经度,纬度
肯德基(百联北上海购物中心),蕴川公路1557号,121.42831398030789,31.368282560840214
肯德基(杨行店),水产路2449号一层114商铺,121.43878174625166,31.368097099141007
肯德基(万达广场),一二八纪念路936号万达百货4层401-2,121.44156255480475,31.325645756431456
肯德基(安信店),牡丹江路1255安信商业广场F区1-2层,121.48394316686222,31.396703264182474
肯德基(淞南店),长江南路553-555号,121.4774354667581,31.338547874802757
肯德基宅急送(蕴川路店),杨行镇蕴川路1557号001,121.42831598357132,31.368282563559223
肯德基(宝山龙湖餐厅),丹霞路50弄1号1层35,121.35852209059834,31.35921514270888
肯德基(长江南路店),淞南镇长江南路5号3-101-A,121.48667626980821,31.333427677471718
肯德基(美兰湖大润发店),月罗路2380号大润发1层,121.34611884617787,31.411147398132925
肯德基(顾村店),水产西路957号,121.40748336680582,31.356633577241585
肯德基(吴淞店),水产路1234号(同济路口),121.48422222844124,31.384142745437693
肯德基(刘行店),菊盛路912-916号,121.36416964492498,31.36345205431014
肯德基(宝山店),牡丹江路1688号黄金广场F1层,121.47794550382599,31.405173458882988
肯德基(正大乐城宝山店),顾村镇陆翔路101号-a103号-a107号-a,121.36736144999378,31.34705058167376
肯德基(美兰店),罗芬路1088号,121.346057526251,31.4047852223818
肯德基(宝山店)6,同泰北路401号(近牡丹江路),121.49134471231054,31.383430118177984
肯德基(长临店),共康路555号大康度假城2号楼,121.43142620765916,31.323366434909467
肯德基(曹安店),曹安路1538号卜蜂莲花1层,121.3652146081512,31.254403659540127
肯德基宅急送(新江桥店),江桥镇虞姬墩路506号,121.338459321822,31.257689591954403
肯德基(安亭店),昌吉路188号(近墨玉路),121.15856362060923,31.29762291558411
肯德基(城中店),城中路2号,121.249015406546,31.37537965546224
肯德基(汽车城店),安亭镇新源路577号(近昌吉路),121.15063604172475,31.297949389453947
肯德基(黄渡DT店),曹安路4671号上海协通大酒店停车场上建造房产及场地,121.21382710990076,31.278364318588395
肯德基(马陆弘基店),沪宜公路2400号,121.27749770093203,31.338627867673974
肯德基(丰庄店),丰庄路1685号好乐广场1层,121.36146643800313,31.25360391411843
肯德基(永盛店),宝安公路3718号永润星辰休闲广场2幢1层,121.26376963077766,31.32869815280663
肯德基(万达广场)7,金沙江西路1051弄1号万达广场1层1063、2层2069-2070,121.31689438212065,31.241068934653068
肯德基(澄浏店),澄浏中路百联嘉定购物中心1层,121.27370763204898,31.3880230125412
肯德基(嘉定城北店),地铁11号线嘉定北站1层,121.23251251540081,31.39341352761923
肯德基(博乐店),嘉定镇博乐路99号,121.24971035531512,31.38534052066014
肯德基(安亭新镇),墨玉南路1055号嘉亭荟城市生活广场1层2-110室,121.15706132568418,31.28940144385678
肯德基(嘉定店),清河路8号,121.24590100776602,31.387693205748118
肯德基(宝翔店),丰翔路3168号家乐福超市1层,121.32103379371509,31.30090759696541
肯德基(南翔店),南翔镇解放街160号(南翔解放街民主街),121.30452236119145,31.292364799718047
肯德基(崇文路餐厅),崇文路1112号吉嘉广场一层,121.27156097631891,31.321760249051827
肯德基(新江桥店),华江公路与虞姬墩路交叉口北50米江桥老街东区F1层,121.33849324514048,31.257725514078153
肯德基(罗宾森购物广场),城中路138号罗宾森购物广场F1层L1-2,121.24103726091106,31.386703184848976
肯德基8,胜辛路447号中信泰富万达广场1层,121.25019567988856,31.332727725619236
肯德基(万嘉商业广场店),东靖路1881号万嘉商业广场1层1963-1969号,121.60734867344381,31.295576172335085
肯德基(惠乐店),惠南镇人民西路955号,121.73054588735133,31.050550918148996
肯德基(申港大道店),茉莉路225弄56-64号1层,121.90186133671409,30.898912504427138
肯德基(康沈店),周浦康沈路1645-1649号,121.5731543182527,31.11807061005971
肯德基(古棕餐厅),古棕路584号,121.90799380897094,30.882195311878746
肯德基(航头店),沪南公路5588-5592号101号,121.59222951878868,31.036528003970098
肯德基(祝桥店),祝桥镇百熙路368弄13号1层,121.75790364479577,31.113682361608646
肯德基(高青店),长清路1200弄2号大润发三林店1层,121.48763113793804,31.151556228998032
肯德基(塘桥店),浦建路15号新塘桥生活广场,121.51396990600507,31.212535539895327
肯德基(金桥店),张杨路3611号金桥国际商业广场1座1-2层,121.57417688061949,31.259578153721016
肯德基(亚太盛汇南商场),世纪大道2002号上海科技馆地铁站内B1层,121.53812793979981,31.22188310065872
肯德基(金高店),金高路1256号卜蜂莲花1层,121.60370623016307,31.281120941858376
肯德基(鸿音店),南芦公路1755弄4-5号,121.81510097482047,30.911971858405906
肯德基(川沙店),新川路401号锦丽华购物中心1层,121.69432321450589,31.19505167308686
肯德基(翔川店),妙境路1118号家乐福1层,121.68829530301105,31.183459719611427
