,地址,经度,纬度
星巴克咖啡(恒丰路店),恒丰路399号L101单元,121.45075303940764,31.246159185821845
星巴克咖啡(达安广场店),延安中路823号,121.45027858646479,31.225316703529682
星巴克咖啡(恒隆二店),南京西路1266号恒隆广场二期2层(一期3层天桥),121.4485085723673,31.230233569293834
星巴克咖啡(协信星光广场北区店),寿阳路99弄市北协信星光广场1层S101A,121.45443138417838,31.300102759598527
STARBUCKS COFFE,江场二路77、79号,121.43950020323163,31.30010366703655
星巴克咖啡(金融街静安中心店),万航渡路750号金融街(静安中心),121.42618974708009,31.22922564559286
星巴克咖啡(太阳城店),恒丰路299号隆宇国际商务广场中101-07号,121.45223012093611,31.244675162268376
星巴克咖啡(新闸路店),新闸路1250号10号楼1层5-10室,121.44753775806682,31.234295630062647
星巴克咖啡(四行天地店),西藏北路18号四行天地105单元,121.46753072739135,31.242844016775077
星巴克咖啡(汇银大厦店),南京西路汇银大厦762号1层d座,121.45803845553705,31.23307712352624
星巴克咖啡(达安花园店),长寿路1007号、1009号和999弄4号底层A室部分区域,121.42390505342226,31.23334595645862
星巴克咖啡(上海火车站北广场店),秣陵路303号上海站1F层,121.45209105529347,31.252669275464907
星巴克咖啡(静安嘉里中心东区)6,延安中路1218号嘉里中心商场B2层6室,121.44579119185723,31.225416126260182
星巴克咖啡(大宁店),共和新路1988号大宁国际商业广场5座1层114-117室,121.44852764987883,31.276190283350232
星巴克咖啡(上海大悦城南座),西藏北路166号上海大悦城南座L3层S316,121.4675265588583,31.244653188664824
星巴克咖啡(宝山路店),宝山路202号(近地铁4号线宝山路站),121.47222904677962,31.254804502417407
星巴克咖啡(珠江创意中心店),灵石路695号珠江创意中心3号楼1层大堂,121.44517545141333,31.286022223528864
星巴克咖啡(静安紫苑店),江宁路388号静安紫苑1-2层,121.4483697151469,31.236052587754138
星巴克咖啡(五月花生活广场店),芷江西路518号五月花生活广场一层101单元及二层201单元和239单元,121.45185693660746,31.25831826005762
STARBUCKS COFFEE(中信泰富广场),南京西路1168号中信泰富广场B1层LG12单元(近陕西北路),121.45079056274153,31.229658808824507
星巴克咖啡(市北高新园区店),江场三路238号1层(江场西路),121.43200667354027,31.295531012830107
星巴克咖啡(静安门大厦店),安远路555号玫琳凯大厦1层,121.43438000796186,31.239131877538284
星巴克咖啡(恒基688广场店),南京西路恒基688广场L106室,121.46007943081345,31.233609916893297
